Clean_SMILES,pActivity,MolObject
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)O)C[C@H]43)c2)cn1,7.158015195409886,<rdkit.Chem.rdchem.Mol object at 0x7f53607ca420>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)OC)C[C@H]43)c2)cn1,8.050609993355087,<rdkit.Chem.rdchem.Mol object at 0x7f53605df760>
C#CCOc1cnc(/C(F)=C/c2cnc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x7f53605f6340>
C#CCOc1cnc(C(=O)Cc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(CN)C[C@H]43)c2)cn1,8.5016894462104,<rdkit.Chem.rdchem.Mol object at 0x7f536078b8b0>
C#CCOc1cnc(C(=O)Cc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(CNC(=O)OC(C)(C)C)C[C@H]43)c2)cn1,9.341988603342887,<rdkit.Chem.rdchem.Mol object at 0x7f536079e8f0>
C#CCOc1cnc(C(=O)Nc2cc(C)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(F)F)C[C@@H]34)c2)cn1,9.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x7f5360789f50>
C#CCOc1cnc(C(=O)Nc2cc(C)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1,9.453457336521868,<rdkit.Chem.rdchem.Mol object at 0x7f536078b840>
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C#N)C[C@H]43)c2)cn1,9.603800652904264,<rdkit.Chem.rdchem.Mol object at 0x7f5360788900>
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,9.518557371497694,<rdkit.Chem.rdchem.Mol object at 0x7f536079c4a0>
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCCC5)C[C@H]43)c2)cn1,9.405607449624574,<rdkit.Chem.rdchem.Mol object at 0x7f536079c190>
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOCC5)C[C@H]43)c2)cn1,10.0,<rdkit.Chem.rdchem.Mol object at 0x7f536076c4a0>
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)NC)C[C@H]43)c2)cn1,9.33348201944512,<rdkit.Chem.rdchem.Mol object at 0x7f536079e500>
